DATE,USD3MTD156N
2019-06-19,2.38613
2019-06-20,2.34313
2019-06-21,2.34925
2019-06-24,2.33288
2019-06-25,2.31125
2019-06-26,2.32988
2019-06-27,2.31888
2019-06-28,2.31988
2019-07-01,2.33188
2019-07-02,2.313
2019-07-03,2.2885
2019-07-04,2.30263
2019-07-05,2.31138
2019-07-08,2.33775
2019-07-09,2.34075
2019-07-10,2.3395
2019-07-11,2.30338
2019-07-12,2.32225
2019-07-15,2.30325
2019-07-16,2.29963
2019-07-17,2.3025
2019-07-18,2.27763
2019-07-19,2.25938
2019-07-22,2.28275
2019-07-23,2.2755
2019-07-24,2.26663
2019-07-25,2.25575
2019-07-26,2.26575
2019-07-29,2.2555
2019-07-30,2.25313
2019-07-31,2.26563
2019-08-01,2.28675
2019-08-02,2.23925
2019-08-05,2.209
2019-08-06,2.187
2019-08-07,2.1845
2019-08-08,2.181
2019-08-09,2.17563
2019-08-12,2.17525
2019-08-13,2.15813
2019-08-14,2.16838
2019-08-15,2.12375
2019-08-16,2.13588
2019-08-19,2.1515
2019-08-20,2.1495
2019-08-21,2.14763
2019-08-22,2.13225
2019-08-23,2.14438
2019-08-26,.
2019-08-27,2.11738
2019-08-28,2.12413
2019-08-29,2.13175
2019-08-30,2.13763
2019-09-02,2.13275
2019-09-03,2.12663
2019-09-04,2.11238
2019-09-05,2.10213
2019-09-06,2.13413
2019-09-09,2.13838
2019-09-10,2.13163
2019-09-11,2.12725
2019-09-12,2.1185
2019-09-13,2.13938
2019-09-16,2.14513
2019-09-17,2.16413
2019-09-18,2.15588
2019-09-19,2.15888
2019-09-20,2.13463
2019-09-23,2.10625
2019-09-24,2.113
2019-09-25,2.09963
2019-09-26,2.10438
2019-09-27,2.09863
2019-09-30,2.08513
2019-10-01,2.08863
2019-10-02,2.05638
2019-10-03,2.04313
2019-10-04,2.027
2019-10-07,2.012
2019-10-08,2.0095
2019-10-09,1.98425
2019-10-10,1.98613
